ID;N_VICTIMAS;AÑO;MES;HORA;LUGAR_DEL_HECHO;TIPO_DE_ENCUENTRO;COMUNA;X;Y;VICTIMA;ACUSADO;BARRIO
2016-0069;1;2016;5;3;AV ENTRE RIOS Y PASAJE FILIBERTO;CRUCE;3;-58.39118948;-34.62704273;AUTO;CARGAS;SAN CRISTOBAL
2016-0073;1;2016;6;15;MAGARIÑOS CERVANTES 3900;ENTRE CALLE;10;-58.49021952;-34.62025108;MOTO;CARGAS;FLORESTA
2016-0074;1;2016;6;6;AV GRAL PAZ Y RODOLFO SCAPINO;CRUCE;8;-58.49896559;-34.67732118;AUTO;AUTO;NO DATA
2016-0075;1;2016;6;23;AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA;CRUCE;8;-58.47461076;-34.66874679;PEATON;AUTO;VILLA LUGANO
2016-0076;1;2016;6;16;AV SAN MARTIN Y CAMARONES;CRUCE;15;-58.46210891;-34.60356211;PEATON;PASAJEROS;PATERNAL
2016-0077;1;2016;6;21;TTEG JUAN D PERON Y AVDA LEANDRO N ALEM;CRUCE;1;-58.3702777;-34.60536123;PEATON;PASAJEROS;SAN NICOLAS
2016-0078;1;2016;6;23;AV BELGRANO Y AV JUJUY;CRUCE;3;-58.40491455;-34.6146383;MOTO;MOTO;BALVANERA
2016-0079;1;2016;6;17;AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO;CRUCE;13;-58.45504154;-34.54864492;AUTO;AUTO;NUÃEZ
2016-0080;1;2016;6;6;AV GRAL PAZ Y AV RIVADAVIA;CRUCE;9;-58.52927982;-34.63931752;AUTO;NO DATA;LINIERS
2016-0081;1;2016;6;7;AV CRISOLOGO LARRALDE Y MACHAIN;CRUCE;12;-58.4872106;-34.55904606;MOTO;AUTO;SAAVEDRA
2016-0082;1;2016;6;18;AV LA PLATA 2384;ENTRE CALLE;4;-58.42273092;-34.64228803;PEATON;AUTO;NUEVA POMPEYA
2016-0083;1;2016;6;20;AV JUAN B ALBERDI Y PUAN;CRUCE;6;-58.44788671;-34.62539009;PEATON;MOTO;CABALLITO
2016-0084;1;2016;6;22;CARLOS PELLEGRINI Y TUCUMAN;CRUCE;1;-58.38110563;-34.60135531;PEATON;PASAJEROS;SAN NICOLAS
2016-0085;1;2016;6;22;AVDA ITE FRANCISCO RABANAL & AVDA EREZCANO;CRUCE;4;-58.42378834;-34.657341;MOTO;OTRO;NUEVA POMPEYA
2016-0086;1;2016;6;16;AV OLIVERA Y RAMON FALCON;CRUCE;10;-58.48727942;-34.63652467;PEATON;PASAJEROS;VELEZ SARSFIELD
2016-0087;1;2016;7;0;AUTOPISTA 1 SUR PTE ARTURO FRONDIZI Y AV CASEROS;CRUCE;1;-58.37864583;-34.62907067;MOTO;OBJETO FIJO;CONSTITUCION
2016-0088;1;2016;7;15;CERETTI Y NUÑEZ;CRUCE;12;-58.5015175;-34.56767549;PEATON;AUTO;VILLA URQUIZA
2016-0089;1;2016;7;6;AV LUGONES Y LA PAMPA;CRUCE;13;-58.43233425;-34.55185825;PEATON;AUTO;BELGRANO
2016-0090;1;2016;7;22;JERONIMO SALGUERO Y AV RIVADAVIA;CRUCE;5;-58.41971993;-34.6111224;PEATON;PASAJEROS;ALMAGRO
2016-0092;1;2016;7;11;AV GRAL PAZ Y AV LIBERTADOR ;CRUCE;13;-58.46743471;-34.53476874;MOTO;CARGAS;NO DATA
2016-0093;1;2016;7;3;AV JUAN B ALBERDI Y EMILIO MITRE;CRUCE;6;-58.44362126;-34.62301748;AUTO;AUTO;CABALLITO
2016-0095;1;2016;7;6;MERCEDES Y AV GRAL MOSCONI;CRUCE;11;-58.51713095;-34.59546519;MOTO;AUTO;VILLA DEVOTO
2016-0096;1;2016;7;7;AUTOPISTA DELLEPIANE LUIS TTE. GRAL. KM. 2,3;CRUCE;8;-58.47433193007387;-34.66684950051973;MOTO;CARGAS;VILLA LUGANO
2016-0097;1;2016;7;18;SOLIS Y MEXICO;CRUCE;1;-58.39038605;-34.6156281;PEATON;AUTO;MONSERRAT
2016-0098;1;2016;7;16;AV SAN JUAN Y ALBERTI;CRUCE;3;-58.40042405;-34.62356174;MOTO;CARGAS;SAN CRISTOBAL
2016-0099;1;2016;7;16;AV GRAL MOSCONI Y AV GRAL PAZ;CRUCE;11;-58.52340614;-34.59798754;CARGAS;CARGAS;NO DATA
2016-0100;1;2016;8;23;AV GRAL PAZ  Y DONADO;CRUCE;12;-58.49491054;-34.54795581;MOTO;OBJETO FIJO;SAAVEDRA
2016-0101;1;2016;8;19;AV GRAL PAZ Y JORGE CHAVEZ;CRUCE;9;-58.52932872;-34.65014993;NO DATA;NO DATA;LINIERS
2016-0102;1;2016;8;23;AV EVA PERON Y JOSE LEON SUAREZ;CRUCE;9;-58.50011639;-34.67316502;MOTO;CARGAS;MATADEROS
2016-0104;1;2016;8;21;ZINNY Y AV SANTIAGO DE COMPOSTELA;CRUCE;9;-58.46635001;-34.65624369;MOTO;PASAJEROS;PARQUE AVELLANEDA
2016-0105;1;2016;8;0;AV FEDERICO LACROZE Y FRAGA;CRUCE;15;-58.45343236;-34.58435809;PEATON;PASAJEROS;CHACARITA
2016-0106;1;2016;8;21;CARLOS PELLEGRINI Y AV DEL LIBERTADOR;CRUCE;1;-58.38090932;-34.58927731;PEATON;PASAJEROS;RETIRO
2016-0107;1;2016;8;8;AUTOPISTA 9 DE JULIO SUR ALT AV MENDOZA;CRUCE;4;-58.37157668;-34.65429986;MOTO;AUTO;BARRACAS
2016-0109;1;2016;8;5;AUTOPISTA PERITO MORENO Y BARRAGAN;CRUCE;9;-58.52280139;-34.63659934;AUTO;OBJETO FIJO;LINIERS
2016-0110;1;2016;8;20;AV ALBERDI Y CARHUE;CRUCE;9;-58.51232237;-34.6590353;PEATON;NO DATA;MATADEROS
2016-0111;1;2016;8;9;AUTOPISTA LEOPOLDO LUGONES Y LA PAMPA;CRUCE;15;-58.47461905;-34.57663634;MOTO;CARGAS;VILLA ORTUZAR
2016-0112;1;2016;8;4;AUTOPISTA 25 DE MAYO AUTOPISTA 1 SUR ARTURO FRONDIZI;CRUCE;1;-58.38268809;-34.62282019;MOTO;OBJETO FIJO;CONSTITUCION
2016-0113;1;2016;8;16;AV JUAN BAUTISTA ALBERDI Y GUARDIA NACIONAL;CRUCE;9;-58.49603546;-34.64564271;PEATON;PASAJEROS;MATADEROS
2016-0114;1;2016;8;11;SALGUERO 1410;ENTRE CALLE;14;-58.41848605;-34.59394733;BICICLETA;CARGAS;PALERMO
2016-0115;1;2016;9;11;ARIAS Y TRONADOR;CRUCE;12;-58.48935041;-34.54917673;NO DATA;CARGAS;SAAVEDRA
2016-0116;1;2016;9;20;AV 27 DE FEBRERO Y AV ESCALADA;CRUCE;8;-58.44451316;-34.68475866;MOTO;AUTO;VILLA SOLDATI
2016-0117;1;2016;9;15;AV DEL LIBERTADOR Y TAGLE;CRUCE;14;-58.39936478;-34.58271474;AUTO;AUTO;PALERMO
2016-0118;1;2016;9;3;AUTOPISTA 1 SUR PTE ARTURO FRONDIZI KM 2.9;CRUCE;1;-58.37936704;-34.62694503;AUTO;AUTO;CONSTITUCION
2016-0119;1;2016;9;6;CRISOLOGO LARRALDE Y AVDA TRIUNVIRATO;CRUCE;12;-58.49659234;-34.56353635;NO DATA;NO DATA;VILLA URQUIZA
2016-0122;1;2016;9;7;AV EVA PERON 4233;ENTRE CALLE;9;-58.47256391;-34.65194557;BICICLETA;PASAJEROS;PARQUE AVELLANEDA
2016-0123;1;2016;9;9;AV ASAMBLEA Y AV CNEL ESTEBAN BONORINO;CRUCE;7;-58.45130953;-34.64053676;MOTO;AUTO;FLORES
2016-0124;1;2016;9;15;AVDA RIVADAVIA Y RIVERA INDARTE;CRUCE;7;-58.46271207;-34.62884871;PEATON;PASAJEROS;FLORES
2016-0125;1;2016;9;12;AUTOPISTA PERITO MORENO Y AV JUAN B ALBERDI;CRUCE;10;-58.49020869;-34.64243791;MOTO;MOTO;VILLA LURO
2016-0126;2;2016;9;22;IRIGOYEN Y TINOGASTA;CRUCE;10;-58.52572109;-34.62125906;AUTO;CARGAS;VILLA REAL
2016-0127;1;2016;9;10;AV MARIANO ACOSTA Y AV CNEL ROCA;CRUCE;8;-58.44094791;-34.66677111;PEATON;PASAJEROS;VILLA SOLDATI
2016-0128;1;2016;10;11;CASTRO Y AV PAVON;CRUCE;5;-58.41914024;-34.6305389;PEATON;PASAJEROS;BOEDO
2016-0130;1;2016;10;12;AUTOPISTA 9 DE JULIO SUR Y AV BRASIL;CRUCE;1;-58.37910942;-34.62764717;MOTO;CARGAS;CONSTITUCION
2016-0131;1;2016;10;19;MIRAVE 3500;ENTRE CALLE;4;-58.39871183;-34.64539318;PEATON;AUTO;BARRACAS
2016-0132;1;2016;10;2;AV SAN JUAN Y 24 DE NOVIEMBRE;CRUCE;3;-58.41036975;-34.62477021;AUTO;PASAJEROS;SAN CRISTOBAL
2016-0133;1;2016;10;0;AV LAS HERAS Y SANCHEZ DE BUSTAMANTE;CRUCE;14;-58.40204698;-34.5834269;MOTO;AUTO;PALERMO
2016-0134;1;2016;10;5;AV PIEDRA BUENA Y 2 DE ABRIL 1982;CRUCE;8;-58.48935287;-34.67648597;MOTO;OBJETO FIJO;VILLA LUGANO
2016-0135;1;2016;10;5;AV FIGUEROA ALCORTA  Y PINEDO;CRUCE;14;-58.42260225;-34.56403694;PEATON;NO DATA;PALERMO
2016-0136;1;2016;10;0;AU BUENOS AIRES - LA PLATA KM. 4;CRUCE;4;;;MOTO;CARGAS;NO DATA
2016-0137;1;2016;10;0;AV SAN MARTIN Y LADINES;CRUCE;11;-58.51537091;-34.59035925;MOTO;MOTO;VILLA DEVOTO
2016-0138;1;2016;10;20;AV CABILDO Y BLANCO ENCALADA;CRUCE;13;-58.4590967;-34.55922742;BICICLETA;CARGAS;BELGRANO
2016-0139;1;2016;10;23;AV PRESIDENTE FIGUEROA ALCORTA Y AV DORREGO;CRUCE;14;-58.42008769;-34.56539579;MOTO;MOTO;PALERMO
2016-0140;1;2016;10;2;AV JURAMENTO Y VUELTA DE OBLIGADO;CRUCE;13;-58.45566399;-34.56147293;PASAJEROS;PASAJEROS;BELGRANO
2016-0142;1;2016;11;23;AV DEL LIBERTADOR Y AV RAMOS MEJIA;CRUCE;1;-58.37533517;-34.59276462;MOTO;PASAJEROS;RETIRO
2016-0143;1;2016;11;4;AV 27 DE FEBRERO Y AV ESCALADA;CRUCE;8;-58.44451316;-34.68475866;MOTO;NO DATA;VILLA SOLDATI
2016-0144;1;2016;11;12;AV. ALTE. BROWN 984;ENTRE CALLE;4;-58.35975012;-34.63343907;PEATON;PASAJEROS;BOCA
2016-0145;1;2016;11;20;AV DEL LIBERTADOR Y LA PAMPA;CRUCE;13;-58.44523595;-34.55953855;MOTO;AUTO;BELGRANO
2016-0146;1;2016;11;20;PICHINCHA Y AV BRASIL;CRUCE;4;-58.39626094;-34.63036565;PEATON;PASAJEROS;PARQUE PATRICIOS
2016-0147;1;2016;11;21;AV INDEPENDENCIA Y VIRREY CEVALLOS;CRUCE;1;-58.38896772;-34.61799615;MOVIL;PASAJEROS;MONSERRAT
2016-0148;1;2016;11;22;AV GARMENDIA 4895;ENTRE CALLE;15;-58.46536113;-34.59484504;MOTO;MOTO;PATERNAL
2016-0150;1;2016;11;18;AV AMANCIO ALCORTA Y DIOGENES TABORDA;CRUCE;4;-58.40879146;-34.65273216;CARGAS;CARGAS;NUEVA POMPEYA
2016-0151;1;2016;11;20;SD;CRUCE;0;;;PEATON;NO DATA;NO DATA
2016-0152;1;2016;11;21;AV PERITO MORENO Y ZUVIRIA;CRUCE;7;-58.46451841;-34.64991946;MOTO;AUTO;FLORES
2016-0153;1;2016;11;15;ARAOZ Y AV CORDOBA;CRUCE;15;-58.4291709;-34.59485488;PEATON;MOTO;VILLA CRESPO
2016-0154;1;2016;11;14;AV GRAL PAZ 15200;ENTRE CALLE;8;-58.49007772;-34.68251141;MOTO;MOTO;VILLA LUGANO
2016-0155;1;2016;11;16;MADERO 900;ENTRE CALLE;10;-58.52756365;-34.62772274;PEATON;AUTO;VERSALLES
2016-0156;1;2016;11;19;AV INDEPENDENCIA Y DEAN FUNES;CRUCE;3;-58.40638983;-34.61943202;MOTO;PASAJEROS;BALVANERA
2016-0157;1;2016;12;6;AV JUAN B JUSTO 5645;ENTRE CALLE;11;-58.47576807;-34.61740997;MOTO;MOTO;VILLA SANTA RITA
2016-0159;1;2016;12;7;AV 27 DE FEBRERO Y AV ESCALADA;CRUCE;8;-58.44451316;-34.68475866;AUTO;NO DATA;VILLA SOLDATI
2016-0160;1;2016;12;5;AUTOPISTA PERITO MORENO ALTURA VELZ;CRUCE;9;-58.51927194;-34.63635787;CARGAS;OBJETO FIJO;LINIERS
2016-0161;1;2016;12;7;AV SANTA FE Y GODOY CRUZ;CRUCE;14;-58.42525456;-34.57866344;PEATON;PASAJEROS;PALERMO
2016-0162;1;2016;12;5;AV FEDERICO LACROZE Y AV FOREST;CRUCE;15;-58.45396573;-34.58518167;PEATON;AUTO;CHACARITA
2016-0163;1;2016;12;7;AV GRAL PAZ Y AV GENERAL MOSCONI;CRUCE;11;-58.52340614;-34.59798754;MOTO;AUTO;NO DATA
2016-0164;1;2016;12;6;AV LA PLATA Y CNEL GREGORIO POMAR;CRUCE;4;-58.42323628;-34.64119105;AUTO;AUTO;NUEVA POMPEYA
2016-0165;1;2016;12;8;AV MARTIN GARCIA 300;ENTRE CALLE;4;-58.36926144;-34.62841919;BICICLETA;PASAJEROS;BOCA
2016-0168;1;2016;12;10;AV LA PLATA Y CNEL GREGORIO POMAR;CRUCE;4;-58.42323628;-34.64119105;MOTO;AUTO;NUEVA POMPEYA
2016-0169;1;2016;12;15;NUÑEZ Y AV RICARDO BALBIN;CRUCE;12;-58.47935434;-34.55676497;MOTO;PASAJEROS;COGHLAN
2016-0170;1;2016;12;17;AV GRAL PAZ 4500;ENTRE CALLE;12;-58.50598256;-34.5637998;MOTO;AUTO;SAAVEDRA
2016-0171;1;2016;12;19;AU BUENOS AIRES - LA PLATA Y AU 25 DE MAYO;CRUCE;1;-58.36607137;-34.62150748;MOTO;MOTO;SAN TELMO
2016-0172;1;2016;12;8;AV GARAY Y CASTRO;CRUCE;5;-58.41918902;-34.63174259;MOTO;CARGAS;BOEDO
2016-0173;1;2016;12;19;AV DIRECTORIO Y AV SAN PEDRITO;CRUCE;7;-58.46749188;-34.63551751;MOTO;CARGAS;FLORES
2016-0174;1;2016;12;0;AUTOPISTA 25 DE MAYO;CRUCE;0;;;NO DATA;NO DATA;NO DATA
2016-0175;1;2016;12;8;CNEL RAMON L FALCON Y MEMBRILLAR;CRUCE;7;-58.46064174;-34.62960517;PEATON;BICICLETA;FLORES
2016-0176;1;2016;12;1;AV BELGRANO Y AV PASEO COLON;CRUCE;1;-58.36956186;-34.61232875;MOTO;PASAJEROS;MONSERRAT
2016-0177;1;2016;12;4;ARENALES 3319;ENTRE CALLE;14;-58.40966671;-34.58788235;PEATON;AUTO;PALERMO
2016-0178;1;2016;12;16;REPUBLICA BOLIVARIANA DE VENEZUELA Y SAAVEDRA;CRUCE;3;-58.40288226;-34.61544091;PEATON;MULTIPLE;BALVANERA
2017-0001;1;2017;1;1;AV. JUAN B JUSTO Y ACHUPALLAS;CRUCE;11;-58.4659423;-34.61028571;MOTO;CARGAS;VILLA GRAL. MITRE
2017-0003;1;2017;1;3;OLAVARRIA Y AV. VELEZ SARSFIELD;CRUCE;4;-58.38957669;-34.64410277;CARGAS;CARGAS;BARRACAS
2017-0007;1;2017;1;17;LIMA Y MEXICO;CRUCE;1;-58.3816166;-34.61529543;PEATON;MULTIPLE;MONSERRAT
2017-0008;1;2017;1;0;JOSE A CABRERA Y BONPLAND;CRUCE;14;-58.43917004;-34.58494351;MOTO;PASAJEROS;PALERMO
2017-0009;1;2017;1;13;AU 25 DE MAYO Y AV. BOEDO;CRUCE;5;-58.41595919;-34.62743346;MOTO;CARGAS;BOEDO
2017-0010;1;2017;1;16;AV. DIRECTORIO Y RIGLOS;CRUCE;6;-58.4356488;-34.62828656;MOTO;AUTO;CABALLITO
2017-0011;1;2017;1;2;AV. GRAL. PAZ Y AV. R. BALBIN;CRUCE;12;-58.5007381;-34.5497951;MOTO;OBJETO FIJO;NO DATA
2017-0012;1;2017;1;14;TRAFUL Y DIOGENES TABORDA;CRUCE;4;-58.40969005;-34.6505529;MOTO;CARGAS;NUEVA POMPEYA
2017-0013;1;2017;1;7;IRIARTE 3055;ENTRE CALLE;4;-58.38972622;-34.65098981;PEATON;CARGAS;BARRACAS
2017-0014;1;2017;1;8;AV. DONADO Y ARIAS;CRUCE;12;-58.49185972;-34.55046754;MOTO;MULTIPLE;SAAVEDRA
2017-0015;1;2017;2;15;CORDOBA AV. Y CALLAO;CRUCE;2;-58.39293417;-34.59963642;PEATON;AUTO;RECOLETA
2017-0016;1;2017;2;5;AU 25 DE MAYO, KILOMETRO 8.3, SENTIDO HACIA PROVINCIA DE BUENOS AIRES, C.A.B.A.;CRUCE;1;-58.38099494;-34.62288231;MOTO;CARGAS;CONSTITUCION
2017-0017;1;2017;2;8;AV. JUAN B JUSTO Y PARAGUAY;CRUCE;14;-58.429012;-34.58095431;MOTO;AUTO;PALERMO
2017-0018;1;2017;2;7;AV. GRAL. PAZ Y AV. DE LOS CORRALES;CRUCE;9;-58.50877521;-34.66977709;MOTO;AUTO;NO DATA
2017-0021;1;2017;2;5;SARMIENTO Y LIBERTAD;CRUCE;1;-58.38362373;-34.60509972;MOTO;PASAJEROS;SAN NICOLAS
2017-0024;1;2017;2;20;AV. RIVADAVIA 7121;ENTRE CALLE;7;-58.46589308;-34.62955795;PEATON;PASAJEROS;FLORES
2017-0025;1;2017;2;17;AV. FERNANDEZ DE LA CRUZ Y RIVERA INDARTE;CRUCE;7;-58.43614426;-34.6542464;MOTO;NO DATA;FLORES
2017-0026;2;2017;2;5;AV. PERITO MORENO Y FOURNIER;CRUCE;4;-58.41842777;-34.64979057;AUTO;OBJETO FIJO;NUEVA POMPEYA
2017-0027;1;2017;2;21;AV. CASEROS 1429;ENTRE CALLE;1;-58.38332245;-34.6319325;PEATON;AUTO;CONSTITUCION
2017-0028;1;2017;2;9;AV. GAONA Y FRAGATA SARMIENTO;CRUCE;6;-58.45475488;-34.61196327;PEATON;AUTO;CABALLITO
2017-0029;1;2017;3;2;MOZART Y TANDIL;CRUCE;9;-58.48501341;-34.64742455;NO DATA;AUTO;PARQUE AVELLANEDA
2017-0030;1;2017;3;8;MOZART Y COLECTORA AV. TTE. LUIS J DELLEPIANE;CRUCE;9;-58.47010988;-34.65872088;AUTO;PASAJEROS;PARQUE AVELLANEDA
2017-0031;1;2017;3;1;24 DE NOVIEMBRE Y PAVON ;CRUCE;3;-58.4099756;-34.62873635;AUTO;OBJETO FIJO;SAN CRISTOBAL
2017-0032;1;2017;3;5;AV. GRAL. PAZ Y PEDRO DE MENDOZA;CRUCE;8;-58.48892175;-34.68359163;AUTO;AUTO;VILLA LUGANO
2017-0033;1;2017;3;7;AV. GRAL. PAZ KM. 10;CRUCE;11;-58.52466448;-34.60325478;AUTO;AUTO;VILLA DEVOTO
2017-0034;1;2017;3;7;GODOY CRUZ 2651;ENTRE CALLE;14;-58.42554218;-34.57929036;PEATON;AUTO;PALERMO
2017-0035;3;2017;3;5;AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR;CRUCE;1;-58.35881506;-34.61113641;AUTO;OBJETO FIJO;PUERTO MADERO
2017-0036;2;2017;3;18;CURUPAYTI Y COLECTORA AV. GRAL. PAZ;CRUCE;12;-58.51452347;-34.58159762;MOTO;PASAJEROS;VILLA PUEYRREDON
2017-0037;1;2017;3;3;AV. INDEPENDENCIA Y VIRREY CEVALLOS;CRUCE;1;-58.38896772;-34.61799615;MOTO;CARGAS;MONSERRAT
2017-0038;1;2017;4;19;AV. CASTAÑARES Y LAUTARO;CRUCE;7;-58.44516857;-34.64363363;MOTO;AUTO;FLORES
2017-0040;1;2017;4;9;CAMINO CIUDAD UNUVERSITARIA Y AV. TTE. GUIRALDES;ENTRE CALLE;13;-58.43834197;-34.54560369;AUTO;MULTIPLE;BELGRANO
2017-0041;1;2017;4;23;BALDOMERO FERNANDEZ MORENO 2186;ENTRE CALLE;7;-58.45485084;-34.63531854;MOTO;AUTO;FLORES
2017-0042;1;2017;4;9;AV. LEOPOLDO LUGONES PKM 6900;CRUCE;14;;;MOTO;CARGAS;NO DATA
